Feature 1,Feature 2,Feature3,Feature 4 ,Feature 5,Feature 6,Feature 7,Result
0.09,1.63,864.16,0.08,0.92,6.00,2.14,59.42
0.70,5.54,535.56,0.14,0.44,6.00,2.14,130.30
0.98,8.69,227.84,0.05,0.33,6.00,2.14,209.49
0.43,2.74,745.78,0.20,0.85,6.00,2.14,84.58
0.68,1.32,834.63,0.89,0.11,3.00,2.07,60.65
0.31,2.62,148.82,0.72,0.87,3.00,2.07,70.59
0.39,3.41,435.17,0.56,0.96,6.00,2.14,91.05
0.76,2.88,570.24,0.06,0.53,7.00,2.16,91.92
0.15,9.00,698.15,0.69,0.85,6.00,2.14,198.82
0.36,5.78,446.46,0.47,0.50,7.00,2.16,133.39
0.62,0.74,470.29,0.40,0.46,5.00,2.12,40.74
0.15,6.68,538.22,0.29,0.59,4.00,2.09,145.39
0.40,5.98,701.10,0.76,0.41,3.00,2.07,136.38
0.94,5.70,381.03,0.92,0.05,2.00,2.05,145.70
0.27,7.20,347.82,0.88,0.56,2.00,2.05,172.38
0.28,8.41,395.09,0.16,0.90,4.00,2.09,184.66
0.40,1.73,338.13,0.87,0.80,1.00,2.02,48.04
0.43,6.27,945.21,0.36,0.67,5.00,2.12,139.45
0.38,6.28,198.76,0.63,0.62,1.00,2.02,146.51
0.99,3.69,828.77,0.81,0.96,1.00,2.02,111.66
0.22,9.20,330.95,0.28,0.02,1.00,2.02,204.88
0.61,7.16,222.42,0.52,0.36,1.00,2.02,163.51
0.33,2.68,144.65,0.97,0.22,1.00,2.02,81.23
0.76,2.06,461.47,0.36,0.88,1.00,2.02,68.12
0.72,5.95,207.83,0.55,0.58,1.00,2.02,143.27
0.10,1.42,24.36,0.99,0.52,1.00,2.02,32.92
0.91,5.78,367.85,0.17,0.13,1.00,2.02,142.77
0.47,3.55,593.25,0.07,0.07,1.00,2.02,92.23
0.89,4.50,606.24,0.23,0.71,1.00,2.02,121.61
0.71,8.54,654.76,0.13,0.40,1.00,2.02,200.43
0.70,4.27,665.58,0.31,0.45,1.00,2.02,112.33
0.55,0.93,668.18,0.69,0.33,1.00,2.02,45.73
0.79,1.15,802.15,0.86,0.47,1.00,2.02,53.99
0.37,0.33,495.66,0.35,0.87,1.00,2.02,28.33
0.84,-0.17,747.01,0.56,0.42,1.00,2.02,33.37
0.52,1.83,582.06,0.11,0.95,1.00,2.02,52.01
0.72,7.41,292.80,0.85,0.87,1.00,2.02,171.45
0.25,6.09,271.28,0.03,0.02,1.00,2.02,131.14
0.73,3.35,370.38,0.40,0.17,1.00,2.02,104.24
0.47,0.34,226.78,0.68,0.19,6.00,2.14,33.18
0.48,5.16,966.48,0.68,0.27,6.00,2.14,126.67
0.85,5.72,463.46,0.50,0.10,6.00,2.14,149.53
0.92,2.73,280.42,0.97,0.11,4.00,2.09,85.04
0.91,5.18,989.55,0.78,0.86,4.00,2.09,136.58
0.97,-0.32,41.90,0.21,0.96,4.00,2.09,29.98
0.06,4.82,539.24,0.49,0.05,4.00,2.09,119.10
0.51,6.60,200.20,0.67,0.09,3.00,2.07,147.62
0.88,7.78,243.98,0.62,0.73,3.00,2.07,196.06
0.58,3.70,258.57,0.46,0.75,3.00,2.07,105.36
0.68,-0.51,736.44,0.88,0.01,3.00,2.07,24.91
